year,anomaly,gcm,scenario
2054,1.83998739719391,pattern28,rcp45
2055,1.87998735904694,pattern28,rcp45
2056,1.90998733043671,pattern28,rcp45
2057,1.94998741149902,pattern28,rcp45
2058,1.97998738288879,pattern28,rcp45
2059,2.00998735427856,pattern28,rcp45
2060,2.04998731613159,pattern28,rcp45
2061,2.07998728752136,pattern28,rcp45
2062,2.10998725891113,pattern28,rcp45
2063,2.13998746871948,pattern28,rcp45
2064,2.16998744010925,pattern28,rcp45
2065,2.19998741149902,pattern28,rcp45
2066,2.22998738288879,pattern28,rcp45
2067,2.25998735427856,pattern28,rcp45
2068,2.28998732566833,pattern28,rcp45
2069,2.30998730659485,pattern28,rcp45
2070,2.33998727798462,pattern28,rcp45
2071,2.36998724937439,pattern28,rcp45
2072,2.38998746871948,pattern28,rcp45
2073,2.41998744010925,pattern28,rcp45
2074,2.44998741149902,pattern28,rcp45
2075,2.46998739242554,pattern28,rcp45
2076,2.49998736381531,pattern28,rcp45
2077,2.51998734474182,pattern28,rcp45
2078,2.53998732566833,pattern28,rcp45
2079,2.56998729705811,pattern28,rcp45
2080,2.58998727798462,pattern28,rcp45
2081,2.60998725891113,pattern28,rcp45
2082,2.62998747825623,pattern28,rcp45
2083,2.659987449646,pattern28,rcp45
2084,2.67998743057251,pattern28,rcp45
2085,2.69998741149902,pattern28,rcp45
2086,2.70998740196228,pattern28,rcp45
2087,2.72998738288879,pattern28,rcp45
2088,2.73998737335205,pattern28,rcp45
2089,2.75998735427856,pattern28,rcp45
2090,2.76998734474182,pattern28,rcp45
2091,2.77998733520508,pattern28,rcp45
2092,2.79998731613159,pattern28,rcp45
2093,2.81998729705811,pattern28,rcp45
2094,2.82998728752136,pattern28,rcp45
2095,2.84998726844788,pattern28,rcp45
2096,2.85998725891113,pattern28,rcp45
2097,2.86998724937439,pattern28,rcp45
2098,2.88998746871948,pattern28,rcp45
2099,2.89998745918274,pattern28,rcp45
1981,-0.160137444734573,pattern29,rcp45
1982,-0.140137434005737,pattern29,rcp45
1983,-0.140137434005737,pattern29,rcp45
1984,-0.140137434005737,pattern29,rcp45
1985,-0.13013744354248,pattern29,rcp45
1986,-0.120137438178062,pattern29,rcp45
1987,-0.110137440264225,pattern29,rcp45
1988,-0.100137442350388,pattern29,rcp45
1989,-0.0901374369859695,pattern29,rcp45
1990,-0.0801374390721321,pattern29,rcp45
1991,-0.0701374411582947,pattern29,rcp45
1992,-0.0601374395191669,pattern29,rcp45
1993,-0.0401374399662018,pattern29,rcp45
1994,-0.0301374383270741,pattern29,rcp45
1995,-0.0101374387741089,pattern29,rcp45
1996,0.0098625607788562,pattern29,rcp45
1997,0.0198625605553389,pattern29,rcp45
1998,0.0398625619709492,pattern29,rcp45
1999,0.0598625615239143,pattern29,rcp45
2000,0.0798625648021698,pattern29,rcp45
2001,0.0998625606298447,pattern29,rcp45
2002,0.129862561821938,pattern29,rcp45
2003,0.15986256301403,pattern29,rcp45
2004,0.189862564206123,pattern29,rcp45
2005,0.219862565398216,pattern29,rcp45
2006,0.249862566590309,pattern29,rcp45
2007,0.279862552881241,pattern29,rcp45
2008,0.309862554073334,pattern29,rcp45
2009,0.339862555265427,pattern29,rcp45
2010,0.359862565994263,pattern29,rcp45
2011,0.389862567186356,pattern29,rcp45
2012,0.419862568378448,pattern29,rcp45
2013,0.449862569570541,pattern29,rcp45
2014,0.479862570762634,pattern29,rcp45
2015,0.499862551689148,pattern29,rcp45
2016,0.529862582683563,pattern29,rcp45
2017,0.569862544536591,pattern29,rcp45
2018,0.599862575531006,pattern29,rcp45
2019,0.639862537384033,pattern29,rcp45
2020,0.669862568378448,pattern29,rcp45
2021,0.709862589836121,pattern29,rcp45
2022,0.739862561225891,pattern29,rcp45
2023,0.779862582683563,pattern29,rcp45
2024,0.819862544536591,pattern29,rcp45
2025,0.849862575531006,pattern29,rcp45
2026,0.889862537384033,pattern29,rcp45
2027,0.919862568378448,pattern29,rcp45
2028,0.959862589836121,pattern29,rcp45
2029,0.999862551689148,pattern29,rcp45
2030,1.03986251354218,pattern29,rcp45
2031,1.07986259460449,pattern29,rcp45
2032,1.11986255645752,pattern29,rcp45
2033,1.15986251831055,pattern29,rcp45
